order_id,order_date,product,region,quantity,price
1,2023-09-01,Monitor,Phuket,10,867
2,2023-12-14,Phone,Bangkok,8,1406
3,2023-10-13,Monitor,Rayong,10,1122
4,2023-11-06,Tablet,Chiang Mai,5,1814
5,2023-09-02,Laptop,Phuket,6,1196
6,2023-04-25,Tablet,Bangkok,8,1324
7,2023-12-11,Keyboard,Chiang Mai,4,726
8,2023-09-23,Laptop,Chiang Mai,5,1361
9,2023-09-08,Phone,Phuket,7,202
10,2023-10-10,Keyboard,Rayong,3,242
11,2023-01-21,Keyboard,Rayong,8,1178
12,2023-04-11,Monitor,Chonburi,10,650
13,2023-12-24,Laptop,Chonburi,7,1063
14,2023-07-26,Laptop,Rayong,8,449
15,2023-05-29,Tablet,Phuket,7,363
16,2023-07-07,Laptop,Rayong,2,1768
17,2023-02-20,Monitor,Rayong,9,1886
18,2023-12-10,Monitor,Chiang Mai,10,1113
19,2023-09-26,Phone,Chonburi,10,1543
20,2023-04-17,Tablet,Chiang Mai,5,780
21,2023-12-20,Laptop,Rayong,7,1199
22,2023-05-21,Tablet,Chonburi,3,258
23,2023-12-13,Tablet,Phuket,8,969
24,2023-01-27,Laptop,Phuket,7,1576
25,2023-06-03,Monitor,Chiang Mai,10,980
26,2023-06-17,Monitor,Chiang Mai,3,721
27,2023-05-05,Phone,Chonburi,6,784
28,2023-09-28,Phone,Chonburi,4,1906
29,2023-09-13,Keyboard,Bangkok,5,1398
30,2023-09-22,Phone,Phuket,8,451
31,2023-09-26,Tablet,Phuket,4,297
32,2023-08-15,Phone,Phuket,8,121
33,2023-12-03,Monitor,Chiang Mai,9,262
34,2023-04-06,Phone,Bangkok,10,1078
35,2023-05-10,Laptop,Bangkok,2,317
36,2023-08-11,Phone,Phuket,1,280
37,2023-08-28,Monitor,Rayong,4,1962
38,2023-04-26,Monitor,Bangkok,10,1881
39,2023-06-02,Monitor,Chiang Mai,1,889
40,2023-07-16,Laptop,Chonburi,8,331
41,2023-04-02,Monitor,Bangkok,9,308
42,2023-02-24,Keyboard,Phuket,2,1575
43,2023-05-20,Keyboard,Rayong,1,1022
44,2023-01-03,Keyboard,Bangkok,4,303
45,2023-08-03,Phone,Phuket,5,1815
46,2023-07-10,Laptop,Chonburi,5,1141
47,2023-01-25,Laptop,Chiang Mai,9,589
48,2023-07-18,Phone,Bangkok,3,714
49,2023-11-14,Keyboard,Chonburi,3,502
50,2023-11-09,Laptop,Chonburi,4,668
51,2023-10-15,Phone,Chiang Mai,4,219
52,2023-02-19,Keyboard,Phuket,7,430
53,2023-01-17,Laptop,Chonburi,3,464
54,2023-12-30,Laptop,Chiang Mai,3,1809
55,2023-08-25,Monitor,Rayong,9,1776
56,2023-03-06,Phone,Chonburi,10,545
57,2023-04-26,Keyboard,Phuket,8,1836
58,2023-08-15,Monitor,Chiang Mai,10,115
59,2023-09-12,Phone,Chiang Mai,6,400
60,2023-05-08,Phone,Phuket,7,1461
61,2023-02-17,Keyboard,Phuket,5,1207
62,2023-02-20,Laptop,Chiang Mai,5,619
63,2023-07-21,Tablet,Chonburi,8,1870
64,2023-09-26,Tablet,Chiang Mai,5,1067
65,2023-04-04,Phone,Chonburi,7,1754
66,2023-07-04,Monitor,Chiang Mai,1,1533
67,2023-07-16,Monitor,Bangkok,5,457
68,2023-06-14,Monitor,Phuket,1,1555
69,2023-01-30,Laptop,Chonburi,8,644
70,2023-10-14,Laptop,Rayong,2,773
71,2023-04-28,Laptop,Rayong,2,699
72,2023-05-19,Phone,Bangkok,1,795
73,2023-09-25,Laptop,Bangkok,2,1364
74,2023-12-22,Phone,Chonburi,8,853
75,2023-11-25,Phone,Bangkok,4,1605
76,2023-11-10,Tablet,Phuket,7,1605
77,2023-01-25,Laptop,Chiang Mai,9,700
78,2023-06-22,Keyboard,Phuket,8,851
79,2023-03-15,Laptop,Bangkok,5,432
80,2023-03-02,Keyboard,Rayong,5,1733
81,2023-03-07,Monitor,Chiang Mai,3,1226
82,2023-09-24,Tablet,Chonburi,6,1258
83,2023-03-12,Phone,Chiang Mai,3,1828
84,2023-12-20,Monitor,Rayong,8,1836
85,2023-04-25,Keyboard,Rayong,3,1298
86,2023-08-10,Laptop,Chonburi,8,1890
87,2023-05-19,Laptop,Bangkok,7,1189
88,2023-10-07,Monitor,Bangkok,7,253
89,2023-04-08,Tablet,Chonburi,7,1182
90,2023-08-06,Laptop,Bangkok,2,1976
91,2023-06-04,Laptop,Phuket,9,183
92,2023-07-11,Tablet,Rayong,9,1677
93,2023-02-27,Tablet,Chonburi,4,1256
94,2023-12-03,Laptop,Chonburi,10,879
95,2023-10-23,Laptop,Phuket,7,1478
96,2023-04-22,Phone,Chonburi,4,1504
97,2023-04-27,Laptop,Chiang Mai,6,1297
98,2023-06-01,Tablet,Chiang Mai,10,628
99,2023-03-18,Phone,Chiang Mai,4,1041
100,2023-11-19,Tablet,Chonburi,6,1746
101,2023-08-18,Keyboard,Bangkok,2,427
102,2023-03-01,Tablet,Chiang Mai,6,1592
103,2023-12-06,Tablet,Bangkok,6,171
104,2023-12-26,Monitor,Bangkok,7,128
105,2023-03-28,Monitor,Phuket,7,1492
106,2023-06-07,Monitor,Rayong,5,1302
107,2023-01-17,Tablet,Rayong,7,1127
108,2023-09-14,Laptop,Chonburi,10,318
109,2023-07-15,Keyboard,Chonburi,4,392
110,2023-10-13,Laptop,Chonburi,9,135
111,2023-04-06,Phone,Chonburi,3,155
112,2023-06-12,Phone,Chonburi,6,760
113,2023-08-16,Keyboard,Chiang Mai,3,1033
114,2023-04-07,Keyboard,Rayong,2,1403
115,2023-10-26,Phone,Chiang Mai,8,1922
116,2023-07-18,Tablet,Chiang Mai,3,1604
117,2023-02-02,Keyboard,Chiang Mai,1,1340
118,2023-12-17,Keyboard,Chiang Mai,10,1827
119,2023-04-24,Laptop,Rayong,8,791
120,2023-03-09,Phone,Phuket,1,922
121,2023-08-09,Laptop,Bangkok,9,1237
122,2023-12-31,Phone,Bangkok,4,1619
123,2023-07-23,Keyboard,Chiang Mai,7,1565
124,2023-06-11,Tablet,Bangkok,9,1027
125,2023-01-03,Monitor,Phuket,9,107
126,2023-03-03,Monitor,Phuket,9,435
127,2023-01-04,Keyboard,Bangkok,5,1006
128,2023-01-16,Laptop,Rayong,9,459
129,2023-11-19,Laptop,Rayong,8,1100
130,2023-11-29,Monitor,Rayong,3,1893
131,2023-03-13,Phone,Bangkok,2,128
132,2023-12-22,Monitor,Bangkok,7,1179
133,2023-12-16,Laptop,Chonburi,8,1991
134,2023-08-25,Laptop,Phuket,8,1279
135,2023-11-06,Monitor,Bangkok,5,661
136,2023-07-16,Laptop,Bangkok,5,1982
137,2023-06-27,Keyboard,Chonburi,3,1875
138,2023-02-12,Laptop,Bangkok,5,1767
139,2023-11-13,Keyboard,Rayong,1,310
140,2023-08-01,Monitor,Chonburi,2,345
141,2023-12-21,Keyboard,Chiang Mai,7,1200
142,2023-06-15,Laptop,Phuket,5,1307
143,2023-07-14,Phone,Bangkok,8,718
144,2023-05-01,Keyboard,Phuket,7,1567
145,2023-04-06,Phone,Chiang Mai,8,1604
146,2023-11-08,Laptop,Phuket,6,1318
147,2023-02-26,Monitor,Chonburi,7,466
148,2023-12-06,Phone,Chiang Mai,10,1457
149,2023-08-15,Tablet,Chiang Mai,6,1082
150,2023-02-16,Keyboard,Chiang Mai,5,533
151,2023-03-22,Phone,Rayong,1,746
152,2023-04-13,Laptop,Bangkok,1,1110
153,2023-01-11,Tablet,Rayong,9,908
154,2023-03-27,Tablet,Chonburi,9,813
155,2023-11-30,Monitor,Rayong,2,1589
156,2023-09-15,Tablet,Phuket,6,2000
