order_id,order_date,product,region,quantity,price
1,2023-12-27,Phone,Chiang Mai,8,233
2,2023-11-13,Phone,Chonburi,3,1906
3,2023-05-16,Laptop,Chiang Mai,7,821
4,2023-12-23,Keyboard,Chonburi,1,1904
5,2023-03-24,Laptop,Phuket,1,1773
6,2023-02-13,Monitor,Chonburi,2,1215
7,2023-01-31,Laptop,Rayong,1,1684
8,2023-11-12,Laptop,Phuket,9,1416
9,2023-05-02,Tablet,Chonburi,7,1026
10,2023-10-10,Tablet,Rayong,4,618
11,2023-09-29,Tablet,Phuket,6,1610
12,2023-01-28,Phone,Phuket,6,1486
13,2023-07-22,Monitor,Rayong,10,514
14,2023-08-29,Monitor,Rayong,4,642
15,2023-06-07,Tablet,Chiang Mai,9,250
16,2023-10-01,Laptop,Chiang Mai,4,1786
17,2023-05-08,Phone,Bangkok,5,167
18,2023-08-02,Tablet,Chiang Mai,8,1331
19,2023-01-13,Tablet,Phuket,9,776
20,2023-06-16,Keyboard,Chonburi,1,1610
21,2023-12-30,Keyboard,Rayong,1,523
22,2023-06-11,Laptop,Chonburi,3,829
23,2023-12-03,Phone,Chonburi,6,701
24,2023-05-18,Phone,Rayong,2,1192
25,2023-05-10,Phone,Chonburi,6,1660
26,2023-06-02,Monitor,Rayong,2,1312
27,2023-07-07,Laptop,Bangkok,3,1882
28,2023-07-30,Phone,Chonburi,3,352
29,2023-12-25,Keyboard,Chiang Mai,5,1163
30,2023-02-22,Monitor,Rayong,5,236
31,2023-11-09,Monitor,Bangkok,2,904
32,2023-10-12,Phone,Rayong,9,501
33,2023-01-28,Tablet,Chiang Mai,4,779
34,2023-06-12,Laptop,Phuket,2,898
35,2023-09-26,Phone,Bangkok,6,1332
36,2023-03-06,Keyboard,Chiang Mai,9,1224
37,2023-10-11,Phone,Bangkok,8,190
38,2023-12-22,Laptop,Phuket,3,1215
39,2023-11-28,Keyboard,Phuket,10,1957
40,2023-07-29,Keyboard,Chiang Mai,5,430
41,2023-03-19,Monitor,Phuket,7,1916
42,2023-07-10,Laptop,Chonburi,10,1988
43,2023-05-04,Phone,Chiang Mai,1,940
44,2023-01-29,Tablet,Bangkok,3,1473
45,2023-04-03,Tablet,Chiang Mai,7,1994
46,2023-05-26,Keyboard,Chiang Mai,2,707
47,2023-12-04,Laptop,Rayong,8,1040
48,2023-03-03,Tablet,Phuket,1,818
49,2023-01-04,Phone,Chonburi,9,1979
50,2023-07-10,Keyboard,Bangkok,9,1274
51,2023-05-21,Tablet,Rayong,3,777
52,2023-06-06,Tablet,Phuket,3,329
53,2023-09-08,Monitor,Rayong,9,1905
54,2023-09-26,Monitor,Phuket,9,1790
55,2023-03-22,Tablet,Chonburi,5,1194
56,2023-12-05,Keyboard,Bangkok,4,748
57,2023-10-19,Monitor,Phuket,10,1696
58,2023-02-27,Laptop,Chiang Mai,3,318
59,2023-02-22,Monitor,Rayong,2,1435
60,2023-05-29,Laptop,Bangkok,8,825
61,2023-12-20,Phone,Chiang Mai,1,1539
62,2023-12-11,Laptop,Phuket,2,529
63,2023-03-11,Laptop,Bangkok,1,1301
64,2023-01-22,Tablet,Bangkok,3,1046
65,2023-07-11,Phone,Phuket,1,936
66,2023-05-11,Laptop,Chonburi,2,117
67,2023-03-08,Monitor,Phuket,7,846
68,2023-05-28,Keyboard,Bangkok,9,448
69,2023-03-07,Laptop,Chiang Mai,3,207
70,2023-06-29,Laptop,Chiang Mai,10,1173
71,2023-06-30,Monitor,Chonburi,9,1447
72,2023-06-05,Keyboard,Rayong,9,613
73,2023-12-06,Keyboard,Rayong,2,293
74,2023-07-01,Tablet,Rayong,1,782
75,2023-01-23,Tablet,Phuket,7,895
76,2023-11-07,Keyboard,Chonburi,1,1914
77,2023-02-01,Phone,Chonburi,5,1381
78,2023-06-24,Phone,Phuket,2,1414
79,2023-02-24,Phone,Chonburi,7,1791
